id,player_id,name,country,role,is_overseas,set_number,base_price_cr,telegram_file_id,telegram_photo_path
329,PLY0329,Jack White,England,Fast Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP2apGSQu8Fbiw7X3zsD6Hja5bVZB8AAswQaxsq-pBUvvJUWxrLIdsBAAMCAAN4AAM9BA,data/photos/PLY0329.jpg
331,PLY0331,Ben Cliff,England,Fast Bowler,f,12,0.25,AgACAgUAAyEGAAT_2KgcAAP4apGSRu1Uo9Je7q_8eyLLZK7a0ZsAAs4Qaxsq-pBUXB1ChkyMhWABAAMCAAN3AAM9BA,data/photos/PLY0331.jpg
287,PLY0287,Alex Green,England,Wicketkeeper Batter,f,11,0.50,AgACAgUAAyEGAAT_2KgcAAICFWqRvoawSGkKNTx6qM85da-miiZKAAILEWsb7oqRVDJknxkWN7-zAQADAgADeAADPQQ,data/photos/PLY0287.jpg
288,PLY0288,Jack Carney,England,Wicketkeeper Batter,f,11,0.50,AgACAgUAAyEGAAT_2KgcAAICFmqRvocD_Emk_gaPhlT1Cl_TXU1eAAIMEWsb7oqRVH6LxQ1N_j1pAQADAgADeAADPQQ,data/photos/PLY0288.jpg
289,PLY0289,Thomas Rew,England,Wicketkeeper Batter,f,11,0.50,AgACAgUAAyEGAAT_2KgcAAICF2qRvogZmtMKErZd3cNpUdB11smtAAINEWsb7oqRVBlnqh1_P4nnAQADAgADeAADPQQ,data/photos/PLY0289.jpg
293,PLY0293,Matthew Forde,West Indies,Right-Arm Fast All-Rounder,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDGGqT064hsQS_spbBeCvFNTRy4PQxAAKIE2sbW7GYVOSS-mgrlOKjAQADAgADeAADPQQ,data/photos/PLY0293.jpg
294,PLY0294,Corey Anderson,USA,Left-Hand Batter/Left-Arm Medium All-Rounder,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDGWqT07Kf29wz4vY3miPh1riYTH7AAAKJE2sbW7GYVKhnQfoG1t9LAQADAgADeAADPQQ,data/photos/PLY0294.jpg
296,PLY0296,Ravi Bopara,England,Bowling All-Rounder (Pace),f,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDHGqT0-8QvZ_kdyVNX3_z7qZzEjhIAAKLE2sbW7GYVJg47yjv-kO2AQADAgADeAADPQQ,data/photos/PLY0296.jpg
297,PLY0297,Sean Williams,Zimbabwe,Left-Hand Batter/Left-Arm Orthodox All-Rounder,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDHWqT0_DqJTyY0VymsyCOsA_oPc3aAAKME2sbW7GYVIIO57m5dRnBAQADAgADeAADPQQ,data/photos/PLY0297.jpg
299,PLY0299,Dhananjaya de Silva,Sri Lanka,Right-Hand Batter/Right-Arm Off-Spin All-Rounder,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDH2qT0_JoWiuTkgwZe2BPBQQtKtlPAAKOE2sbW7GYVAmJhJGZ0PJuAQADAgADeAADPQQ,data/photos/PLY0299.jpg
301,PLY0301,Jacob Duffy,New Zealand,Right-Arm Fast Bowler,t,11,0.50,AgACAgUAAyEGAAT_2KgcAAIDIWqT0_b3F1IuCxf9-ZKHdVmEbIXtAAKQE2sbW7GYVOnmzxR4JKUyAQADAgADeAADPQQ,data/photos/PLY0301.jpg
